uniprot_accession,uniprot_id,gene_name,protein_name,organism,sequence_length,uniprot_orphan_status,uniprot_ligand_info,iuphar_target_id,iuphar_name,iuphar_is_orphan,consensus_status,date_retrieved
Q9GZK6,OR2J1_HUMAN,OR2J1,Olfactory receptor 2J1,,312,unknown,,,,,unknown,2026-05-05
Q9GZP7,VN1R1_HUMAN,VN1R1,Vomeronasal type-1 receptor 1,,353,unknown,,,,,unknown,2026-05-05
Q9H207,O10A5_HUMAN,OR10A5,Olfactory receptor 10A5,,317,unknown,,,,,unknown,2026-05-05
Q9H340,O51B6_HUMAN,OR51B6,Olfactory receptor 51B6,,312,unknown,,,,,unknown,2026-05-05
Q9NSD7,RL3R1_HUMAN,RXFP3,Relaxin-3 receptor 1,,469,unknown,Binding of the ligand inhibit cAMP accumulation,353,RXFP3,0,cognate,2026-05-05
Q9NYW2,TA2R8_HUMAN,TAS2R8,Taste receptor type 2 member 8,,309,unknown,,664,TAS2R8,1,orphan,2026-05-05
Q9Y585,OR1A2_HUMAN,OR1A2,Olfactory receptor 1A2,,309,unknown,,,,,unknown,2026-05-05
A0A3B3IT45,O51C1_HUMAN,OR51C1,Olfactory receptor OR51C1,,312,unknown,,,,,unknown,2026-05-05
A6NCV1,O6C74_HUMAN,OR6C74,Olfactory receptor 6C74,,312,unknown,,,,,unknown,2026-05-05
A6NM76,O6C76_HUMAN,OR6C76,Olfactory receptor 6C76,,312,unknown,,,,,unknown,2026-05-05
A6NMS3,OR5K4_HUMAN,OR5K4,Olfactory receptor 5K4,,321,unknown,,,,,unknown,2026-05-05
A6NMU1,O52A4_HUMAN,OR52A4P,Olfactory receptor 52A4,,304,unknown,,,,,unknown,2026-05-05
A6NMZ5,O4C45_HUMAN,OR4C45,Olfactory receptor 4C45,,306,unknown,,,,,unknown,2026-05-05
O00398,P2Y10_HUMAN,P2RY10,Putative P2Y purinoceptor 10,,339,unknown,,165,P2RY10,0,cognate,2026-05-05
O60403,O10H2_HUMAN,OR10H2,Olfactory receptor 10H2,,315,unknown,,,,,unknown,2026-05-05
P0C604,OR4A8_HUMAN,OR4A8,Olfactory receptor 4A8,,315,unknown,,,,,unknown,2026-05-05
P0C617,O5AL1_HUMAN,OR5AL1,Olfactory receptor 5AL1,,329,unknown,,,,,unknown,2026-05-05
P0C623,OR4Q2_HUMAN,OR4Q2,Olfactory receptor 4Q2,,314,unknown,,,,,unknown,2026-05-05
P0C626,OR5G3_HUMAN,OR5G3,Olfactory receptor 5G3,,314,unknown,,,,,unknown,2026-05-05
P0C628,O5AC1_HUMAN,OR5AC1,Olfactory receptor 5AC1,,307,unknown,,,,,unknown,2026-05-05
P0DN80,OR5H8_HUMAN,OR5H8,Olfactory receptor 5H8,,308,unknown,,,,,unknown,2026-05-05
P58170,OR1D5_HUMAN,OR1D5,Olfactory receptor 1D5,,312,unknown,,,,,unknown,2026-05-05
P58181,O10A3_HUMAN,OR10A3,Olfactory receptor 10A3,,314,unknown,,,,,unknown,2026-05-05
P59544,T2R50_HUMAN,TAS2R50,Taste receptor type 2 member 50,,299,unknown,,677,TAS2R50,1,orphan,2026-05-05
Q5JQS5,OR2BB_HUMAN,OR2B11,Olfactory receptor 2B11,,317,unknown,,,,,unknown,2026-05-05
Q5TZ20,OR2G6_HUMAN,OR2G6,Olfactory receptor 2G6,,316,unknown,,,,,unknown,2026-05-05
Q6IEU7,OR5MA_HUMAN,OR5M10,Olfactory receptor 5M10,,315,unknown,,,,,unknown,2026-05-05
Q6IFG1,O52E8_HUMAN,OR52E8,Olfactory receptor 52E8,,313,unknown,,,,,unknown,2026-05-05
Q6IFN5,O7E24_HUMAN,OR7E24,Olfactory receptor 7E24,,339,unknown,,,,,unknown,2026-05-05
Q86SM5,MRGRG_HUMAN,MRGPRG,Mas-related G-protein coupled receptor member G,,289,orphan,,155,MRGPRG,1,orphan,2026-05-05
Q8N146,OR8H3_HUMAN,OR8H3,Olfactory receptor 8H3,,312,unknown,,,,,unknown,2026-05-05
Q8N349,OR2LD_HUMAN,OR2L13,Olfactory receptor 2L13,,312,unknown,,,,,unknown,2026-05-05
Q8NFZ6,VN1R2_HUMAN,VN1R2,Vomeronasal type-1 receptor 2,,395,unknown,,,,,unknown,2026-05-05
Q8NG80,OR2L5_HUMAN,OR2L5,Olfactory receptor 2L5,,312,unknown,,,,,unknown,2026-05-05
Q8NG84,O2AK2_HUMAN,OR2AK2,Olfactory receptor 2AK2,,335,unknown,,,,,unknown,2026-05-05
Q8NG85,OR2L3_HUMAN,OR2L3,Olfactory receptor 2L3,,312,unknown,,,,,unknown,2026-05-05
Q8NGA6,O10H5_HUMAN,OR10H5,Olfactory receptor 10H5,,315,unknown,,,,,unknown,2026-05-05
Q8NGB4,OR4S1_HUMAN,OR4S1,Olfactory receptor 4S1,,309,unknown,,,,,unknown,2026-05-05
Q8NGB8,O4F15_HUMAN,OR4F15,Olfactory receptor 4F15,,312,unknown,,,,,unknown,2026-05-05
Q8NGC3,O10G2_HUMAN,OR10G2,Olfactory receptor 10G2,,310,unknown,,,,,unknown,2026-05-05
Q8NGC9,O11H4_HUMAN,OR11H4,Olfactory receptor 11H4,,324,unknown,,,,,unknown,2026-05-05
Q8NGD2,OR4K2_HUMAN,OR4K2,Olfactory receptor 4K2,,314,unknown,,,,,unknown,2026-05-05
Q8NGD4,OR4K1_HUMAN,OR4K1,Olfactory receptor 4K1,,311,unknown,,,,,unknown,2026-05-05
Q8NGF1,O52R1_HUMAN,OR52R1,Olfactory receptor 52R1,,315,unknown,,,,,unknown,2026-05-05
Q8NGF4,O5AP2_HUMAN,OR5AP2,Olfactory receptor 5AP2,,316,unknown,,,,,unknown,2026-05-05
Q8NGF6,O10W1_HUMAN,OR10W1,Olfactory receptor 10W1,,305,unknown,,,,,unknown,2026-05-05
Q8NGF7,OR5BH_HUMAN,OR5B17,Olfactory receptor 5B17,,314,unknown,,,,,unknown,2026-05-05
Q8NGH6,O52L2_HUMAN,OR52L2P,Putative olfactory receptor 52L2,,319,unknown,,,,,unknown,2026-05-05
Q8NGH8,O56A4_HUMAN,OR56A4,Olfactory receptor 56A4,,313,unknown,,,,,unknown,2026-05-05
Q8NGI0,O52N2_HUMAN,OR52N2,Olfactory receptor 52N2,,321,unknown,,,,,unknown,2026-05-05
Q8NGJ1,OR4D6_HUMAN,OR4D6,Olfactory receptor 4D6,,314,unknown,,,,,unknown,2026-05-05
Q8NGL0,OR5L2_HUMAN,OR5L2,Olfactory receptor 5L2,,311,unknown,,,,,unknown,2026-05-05
Q8NGL2,OR5L1_HUMAN,OR5L1,Olfactory receptor 5L1,,311,unknown,,,,,unknown,2026-05-05
Q8NGL3,OR5DE_HUMAN,OR5D14,Olfactory receptor 5D14,,314,unknown,,,,,unknown,2026-05-05
Q8NGN1,OR6T1_HUMAN,OR6T1,Olfactory receptor 6T1,,323,unknown,,,,,unknown,2026-05-05
Q8NGP4,OR5M3_HUMAN,OR5M3,Olfactory receptor 5M3,,307,unknown,,,,,unknown,2026-05-05
Q8NGQ6,OR9I1_HUMAN,OR9I1,Olfactory receptor 9I1,,314,unknown,,,,,unknown,2026-05-05
Q8NGR1,O13A1_HUMAN,OR13A1,Olfactory receptor 13A1,,328,unknown,,,,,unknown,2026-05-05
Q8NGX0,O11L1_HUMAN,OR11L1,Olfactory receptor 11L1,,322,unknown,,,,,unknown,2026-05-05
Q8NGX2,O2T35_HUMAN,OR2T35,Olfactory receptor 2T35,,323,unknown,,,,,unknown,2026-05-05
Q8NGX6,O10R2_HUMAN,OR10R2,Olfactory receptor 10R2,,335,unknown,,,,,unknown,2026-05-05
Q8NGY2,OR6K2_HUMAN,OR6K2,Olfactory receptor 6K2,,324,unknown,,,,,unknown,2026-05-05
Q8NGY9,OR2L8_HUMAN,OR2L8,Olfactory receptor 2L8,,312,unknown,,,,,unknown,2026-05-05
Q8NGZ0,O2AJ1_HUMAN,OR2AJ1,Olfactory receptor 2AJ1,,328,unknown,,,,,unknown,2026-05-05
Q8NGZ3,O13G1_HUMAN,OR13G1,Olfactory receptor 13G1,,307,unknown,,,,,unknown,2026-05-05
Q8NH50,OR8K5_HUMAN,OR8K5,Olfactory receptor 8K5,,307,unknown,,,,,unknown,2026-05-05
Q8NH79,OR6X1_HUMAN,OR6X1,Olfactory receptor 6X1,,312,unknown,,,,,unknown,2026-05-05
Q8NH89,O5AK3_HUMAN,OR5AK3P,Olfactory receptor 5AK3,,298,unknown,,,,,unknown,2026-05-05
Q8NHA6,OR2W6_HUMAN,OR2W6P,Putative olfactory receptor 2W6,,318,unknown,,,,,unknown,2026-05-05
Q8NHA8,OR1FC_HUMAN,OR1F12P,Putative olfactory receptor 1F12P,,337,unknown,,,,,unknown,2026-05-05
Q8NHB7,OR5K1_HUMAN,OR5K1,Olfactory receptor 5K1,,308,unknown,,,,,unknown,2026-05-05
Q96R08,OR5BC_HUMAN,OR5B12,Olfactory receptor 5B12,,314,unknown,,,,,unknown,2026-05-05
Q96R54,O14A2_HUMAN,OR14A2,Olfactory receptor 14A2,,314,unknown,,,,,unknown,2026-05-05
Q96RB7,OR5MB_HUMAN,OR5M11,Olfactory receptor 5M11,,305,unknown,,,,,unknown,2026-05-05
Q96RD2,O52B2_HUMAN,OR52B2,Olfactory receptor 52B2,,323,unknown,,,,,unknown,2026-05-05
Q9NZP2,OR6C2_HUMAN,OR6C2,Olfactory receptor 6C2,,312,unknown,,,,,unknown,2026-05-05
A0A286YEU6,OR1R1_HUMAN,OR1R1,Olfactory receptor 1R1,,314,unknown,,,,,unknown,2026-05-05
A3KFT3,OR2M5_HUMAN,OR2M5,Olfactory receptor 2M5,,312,unknown,,,,,unknown,2026-05-05
A6NDH6,O5H15_HUMAN,OR5H15,Olfactory receptor 5H15,,313,unknown,,,,,unknown,2026-05-05
A6NIJ9,O6C70_HUMAN,OR6C70,Olfactory receptor 6C70,,312,unknown,,,,,unknown,2026-05-05
A6NL26,O5B21_HUMAN,OR5B21,Olfactory receptor 5B21,,309,unknown,,,,,unknown,2026-05-05
P59536,T2R41_HUMAN,TAS2R41,Taste receptor type 2 member 41,,307,unknown,,680,TAS2R41,1,orphan,2026-05-05
Q15622,OR7A5_HUMAN,OR7A5,Olfactory receptor 7A5,,319,unknown,,,,,unknown,2026-05-05
Q6IEY1,OR4F3_HUMAN,OR4F3,Olfactory receptor 4F3/4F16/4F29,,312,unknown,,,,,unknown,2026-05-05
Q6IEZ7,OR2T5_HUMAN,OR2T5,Olfactory receptor 2T5,,315,unknown,,,,,unknown,2026-05-05
Q8N127,O5AS1_HUMAN,OR5AS1,Olfactory receptor 5AS1,,324,unknown,,,,,unknown,2026-05-05
Q8NG94,O11H1_HUMAN,OR11H1,Olfactory receptor 11H1,,326,unknown,,,,,unknown,2026-05-05
Q8NG97,OR2Z1_HUMAN,OR2Z1,Olfactory receptor 2Z1,,314,unknown,,,,,unknown,2026-05-05
Q8NGA1,OR1M1_HUMAN,OR1M1,Olfactory receptor 1M1,,313,unknown,,,,,unknown,2026-05-05
Q8NGA8,O4F17_HUMAN,OR4F17,Olfactory receptor 4F17,,305,unknown,,,,,unknown,2026-05-05
Q8NGC5,OR6J1_HUMAN,OR6J1,Olfactory receptor 6J1,,347,unknown,,,,,unknown,2026-05-05
Q8NGC6,OR4KH_HUMAN,OR4K17,Olfactory receptor 4K17,,312,unknown,,,,,unknown,2026-05-05
Q8NGC7,O11H6_HUMAN,OR11H6,Olfactory receptor 11H6,,330,unknown,,,,,unknown,2026-05-05
Q8NGE2,O2AP1_HUMAN,OR2AP1,Olfactory receptor 2AP1,,309,unknown,,,,,unknown,2026-05-05
Q8NGE5,O10A7_HUMAN,OR10A7,Olfactory receptor 10A7,,316,unknown,,,,,unknown,2026-05-05
Q8NGE9,OR9Q2_HUMAN,OR9Q2,Olfactory receptor 9Q2,,314,unknown,,,,,unknown,2026-05-05
Q8NGG8,OR8B3_HUMAN,OR8B3,Olfactory receptor 8B3,,313,unknown,,,,,unknown,2026-05-05
Q8NGH5,O56A1_HUMAN,OR56A1,Olfactory receptor 56A1,,318,unknown,,,,,unknown,2026-05-05
Q8NGI6,OR4DA_HUMAN,OR4D10,Olfactory receptor 4D10,,311,unknown,,,,,unknown,2026-05-05
Q8NGJ3,O52E1_HUMAN,OR52E1,Olfactory receptor 52E1,,308,unknown,,,,,unknown,2026-05-05
Q8NGJ5,O51L1_HUMAN,OR51L1,Olfactory receptor 51L1,,315,unknown,,,,,unknown,2026-05-05
Q8NGJ6,O51A4_HUMAN,OR51A4,Olfactory receptor 51A4,,313,unknown,,,,,unknown,2026-05-05
Q8NGK6,O52I1_HUMAN,OR52I1,Olfactory receptor 52I1,,324,unknown,,,,,unknown,2026-05-05
Q8NGL9,OR4CG_HUMAN,OR4C16,Olfactory receptor 4C16,,310,unknown,,,,,unknown,2026-05-05
Q8NGN0,OR4D5_HUMAN,OR4D5,Olfactory receptor 4D5,,318,unknown,,,,,unknown,2026-05-05
Q8NGN5,O10G8_HUMAN,OR10G8,Olfactory receptor 10G8,,311,unknown,,,,,unknown,2026-05-05
Q8NGP0,OR4CD_HUMAN,OR4C13,Olfactory receptor 4C13,,309,unknown,,,,,unknown,2026-05-05
Q8NGP2,OR8J1_HUMAN,OR8J1,Olfactory receptor 8J1,,316,unknown,,,,,unknown,2026-05-05
Q8NGQ2,OR6Q1_HUMAN,OR6Q1,Olfactory receptor 6Q1,,317,unknown,,,,,unknown,2026-05-05
Q8NGR3,OR1K1_HUMAN,OR1K1,Olfactory receptor 1K1,,316,unknown,,,,,unknown,2026-05-05
Q8NGR9,OR1N2_HUMAN,OR1N2,Olfactory receptor 1N2,,316,unknown,,,,,unknown,2026-05-05
Q8NGS5,O13C4_HUMAN,OR13C4,Olfactory receptor 13C4,,318,unknown,,,,,unknown,2026-05-05
Q8NGS9,O13C2_HUMAN,OR13C2,Olfactory receptor 13C2,,318,unknown,,,,,unknown,2026-05-05
Q8NGU2,OR9A4_HUMAN,OR9A4,Olfactory receptor 9A4,,314,unknown,,,,,unknown,2026-05-05
Q8NGX1,O2T34_HUMAN,OR2T34,Olfactory receptor 2T34,,318,unknown,,,,,unknown,2026-05-05
Q8NGY1,O10Z1_HUMAN,OR10Z1,Olfactory receptor 10Z1,,313,unknown,,,,,unknown,2026-05-05
Q8NH03,OR2T3_HUMAN,OR2T3,Olfactory receptor 2T3,,318,unknown,,,,,unknown,2026-05-05
Q8NH08,O10AC_HUMAN,OR10AC1,Olfactory receptor 10AC1,,325,unknown,,,,,unknown,2026-05-05
Q8NH09,OR8S1_HUMAN,OR8S1,Olfactory receptor 8S1,,359,unknown,,,,,unknown,2026-05-05
Q8NH41,OR4KF_HUMAN,OR4K15,Olfactory receptor 4K15,,324,unknown,,,,,unknown,2026-05-05
Q8NH53,O52N1_HUMAN,OR52N1,Olfactory receptor 52N1,,320,unknown,,,,,unknown,2026-05-05
Q8NH55,O52E5_HUMAN,OR52E5,Olfactory receptor 52E5,,327,unknown,,,,,unknown,2026-05-05
Q8NH64,O51A7_HUMAN,OR51A7,Olfactory receptor 51A7,,312,unknown,,,,,unknown,2026-05-05
Q8NH81,O10G6_HUMAN,OR10G6,Olfactory receptor 10G6,,332,unknown,,,,,unknown,2026-05-05
Q8WZ92,OR5P2_HUMAN,OR5P2,Olfactory receptor 5P2,,322,unknown,,,,,unknown,2026-05-05
Q96R09,OR5B2_HUMAN,OR5B2,Olfactory receptor 5B2,,309,unknown,,,,,unknown,2026-05-05
Q96R28,OR2M2_HUMAN,OR2M2,Olfactory receptor 2M2,,347,unknown,,,,,unknown,2026-05-05
Q96R47,O2A14_HUMAN,OR2A14,Olfactory receptor 2A14,,310,unknown,,,,,unknown,2026-05-05
Q96RD0,OR8B2_HUMAN,OR8B2,Olfactory receptor 8B2,,313,unknown,,,,,unknown,2026-05-05
Q99680,GPR22_HUMAN,GPR22,G-protein coupled receptor 22,,433,unknown,,93,GPR22,1,orphan,2026-05-05
Q9GZK7,O11A1_HUMAN,OR11A1,Olfactory receptor 11A1,,315,unknown,,,,,unknown,2026-05-05
Q9P1P4,TAAR3_HUMAN,TAAR3P,Putative trace amine-associated receptor 3,,343,unknown,,168,TAAR3,1,orphan,2026-05-05
Q9P1Q5,OR1A1_HUMAN,OR1A1,Olfactory receptor 1A1,,309,unknown,,,,,unknown,2026-05-05
Q9UGF6,OR5V1_HUMAN,OR5V1,Olfactory receptor 5V1,,321,unknown,,,,,unknown,2026-05-05
Q9UGF7,O12D3_HUMAN,OR12D3,Olfactory receptor 12D3,,316,unknown,,,,,unknown,2026-05-05
Q9Y3N9,OR2W1_HUMAN,OR2W1,Olfactory receptor 2W1,,320,unknown,,,,,unknown,2026-05-05
Q9Y5Y3,GPR45_HUMAN,GPR45,Probable G-protein coupled receptor 45,,372,orphan,,106,GPR45,1,orphan,2026-05-05
A0A2R8Y4L6,OR5D3_HUMAN,OR5D3,Olfactory receptor 5D3,,323,unknown,,,,,unknown,2026-05-05
A6NET4,OR5K3_HUMAN,OR5K3,Olfactory receptor 5K3,,321,unknown,,,,,unknown,2026-05-05
A6NF89,OR6C6_HUMAN,OR6C6,Olfactory receptor 6C6,,314,unknown,,,,,unknown,2026-05-05
A6NHG9,O5H14_HUMAN,OR5H14,Olfactory receptor 5H14,,310,unknown,,,,,unknown,2026-05-05
O14581,OR7AH_HUMAN,OR7A17,Olfactory receptor 7A17,,309,unknown,,,,,unknown,2026-05-05
O60404,O10H3_HUMAN,OR10H3,Olfactory receptor 10H3,,316,unknown,,,,,unknown,2026-05-05
P0C629,O10J4_HUMAN,OR10J4,Olfactory receptor 10J4,,311,unknown,,,,,unknown,2026-05-05
P0C646,O52Z1_HUMAN,OR52Z1P,Olfactory receptor 52Z1P,,298,unknown,,,,,unknown,2026-05-05
P0DMU2,OR8G3_HUMAN,OR8G3,Olfactory receptor 8G3,,310,unknown,,,,,unknown,2026-05-05
P47881,OR3A1_HUMAN,OR3A1,Olfactory receptor 3A1,,315,unknown,,,,,unknown,2026-05-05
P47884,OR1D4_HUMAN,OR1D4,Olfactory receptor 1D4,,311,unknown,,,,,unknown,2026-05-05
P59539,T2R45_HUMAN,TAS2R45,Taste receptor type 2 member 45,,299,unknown,,2828,TAS2R45,1,orphan,2026-05-05
Q6IEV9,OR4CB_HUMAN,OR4C11,Olfactory receptor 4C11,,310,unknown,,,,,unknown,2026-05-05
Q6IF36,O8G2P_HUMAN,OR8G2P,Olfactory receptor 8G2,,304,unknown,,,,,unknown,2026-05-05
Q6IF42,OR2A2_HUMAN,OR2A2,Olfactory receptor 2A2,,318,unknown,,,,,unknown,2026-05-05
Q6IF99,O10K2_HUMAN,OR10K2,Olfactory receptor 10K2,,312,unknown,,,,,unknown,2026-05-05
Q8IXE1,OR4N5_HUMAN,OR4N5,Olfactory receptor 4N5,,308,unknown,,,,,unknown,2026-05-05
Q8N0Y3,OR4N4_HUMAN,OR4N4,Olfactory receptor 4N4,,316,unknown,,,,,unknown,2026-05-05
Q8NG77,O2T12_HUMAN,OR2T12,Olfactory receptor 2T12,,320,unknown,,,,,unknown,2026-05-05
Q8NGB6,OR4M2_HUMAN,OR4M2,Olfactory receptor 4M2,,313,unknown,,,,,unknown,2026-05-05
Q8NGC0,O5AU1_HUMAN,OR5AU1,Olfactory receptor 5AU1,,362,unknown,,,,,unknown,2026-05-05
Q8NGC1,O11G2_HUMAN,OR11G2,Olfactory receptor 11G2,,345,unknown,,,,,unknown,2026-05-05
Q8NGC2,OR4E2_HUMAN,OR4E2,Olfactory receptor 4E2,,313,cognate,,,,,cognate,2026-05-05
Q8NGD1,OR4N2_HUMAN,OR4N2,Olfactory receptor 4N2,,307,unknown,,,,,unknown,2026-05-05
Q8NGE0,O10AD_HUMAN,OR10AD1,Olfactory receptor 10AD1,,317,unknown,,,,,unknown,2026-05-05
Q8NGG4,OR8H1_HUMAN,OR8H1,Olfactory receptor 8H1,,311,unknown,,,,,unknown,2026-05-05
Q8NGG7,OR8A1_HUMAN,OR8A1,Olfactory receptor 8A1,,326,unknown,,,,,unknown,2026-05-05
Q8NGH9,O52E4_HUMAN,OR52E4,Olfactory receptor 52E4,,312,unknown,,,,,unknown,2026-05-05
Q8NGI4,OR4DB_HUMAN,OR4D11,Olfactory receptor 4D11,,311,unknown,,,,,unknown,2026-05-05
Q8NGI7,O10V1_HUMAN,OR10V1,Olfactory receptor 10V1,,309,unknown,,,,,unknown,2026-05-05
Q8NGI9,OR5A2_HUMAN,OR5A2,Olfactory receptor 5A2,,324,unknown,,,,,unknown,2026-05-05
Q8NGJ4,O52E2_HUMAN,OR52E2,Olfactory receptor 52E2,,325,unknown,,,,,unknown,2026-05-05
Q8NGJ7,O51A2_HUMAN,OR51A2,Olfactory receptor 51A2,,313,unknown,,,,,unknown,2026-05-05
Q8NGK0,O51G2_HUMAN,OR51G2,Olfactory receptor 51G2,,314,unknown,,,,,unknown,2026-05-05
Q8NGK4,O52K1_HUMAN,OR52K1,Olfactory receptor 52K1,,314,unknown,,,,,unknown,2026-05-05
Q8NGL7,OR4P4_HUMAN,OR4P4,Olfactory receptor 4P4,,312,unknown,,,,,unknown,2026-05-05
Q8NGN2,O10S1_HUMAN,OR10S1,Olfactory receptor 10S1,,331,unknown,,,,,unknown,2026-05-05
Q8NGR5,OR1L4_HUMAN,OR1L4,Olfactory receptor 1L4,,311,unknown,,,,,unknown,2026-05-05
Q8NGS4,O13F1_HUMAN,OR13F1,Olfactory receptor 13F1,,319,unknown,,,,,unknown,2026-05-05
Q8NGS7,O13C8_HUMAN,OR13C8,Olfactory receptor 13C8,,320,unknown,,,,,unknown,2026-05-05
Q8NGT2,O13J1_HUMAN,OR13J1,Olfactory receptor 13J1,,312,unknown,,,,,unknown,2026-05-05
Q8NGU4,OR2I1_HUMAN,OR2I1,Putative olfactory receptor 2I1,,315,unknown,,,,,unknown,2026-05-05
Q8NGV5,O13D1_HUMAN,OR13D1,Olfactory receptor 13D1,,346,unknown,,,,,unknown,2026-05-05
Q8NGX9,OR6P1_HUMAN,OR6P1,Olfactory receptor 6P1,,317,unknown,,,,,unknown,2026-05-05
Q8NGY5,OR6N1_HUMAN,OR6N1,Olfactory receptor 6N1,,312,unknown,,,,,unknown,2026-05-05
Q8NGZ2,O14K1_HUMAN,OR14K1,Olfactory receptor 14K1,,314,unknown,,,,,unknown,2026-05-05
Q8NGZ4,OR2G3_HUMAN,OR2G3,Olfactory receptor 2G3,,309,unknown,,,,,unknown,2026-05-05
Q8NGZ5,OR2G2_HUMAN,OR2G2,Olfactory receptor 2G2,,317,unknown,,,,,unknown,2026-05-05
Q8NH01,O2T11_HUMAN,OR2T11,Olfactory receptor 2T11,,316,unknown,,,,,unknown,2026-05-05
Q8NH04,O2T27_HUMAN,OR2T27,Olfactory receptor 2T27,,317,unknown,,,,,unknown,2026-05-05
Q8NH07,O11H2_HUMAN,OR11H2,Olfactory receptor 11H2,,326,unknown,,,,,unknown,2026-05-05
Q8NH10,OR8U1_HUMAN,OR8U1,Olfactory receptor 8U1,,309,unknown,,,,,unknown,2026-05-05
Q8NH18,OR5J2_HUMAN,OR5J2,Olfactory receptor 5J2,,312,unknown,,,,,unknown,2026-05-05
Q8NH37,OR4C3_HUMAN,OR4C3,Olfactory receptor 4C3,,302,unknown,,,,,unknown,2026-05-05
Q8NH40,OR6S1_HUMAN,OR6S1,Olfactory receptor 6S1,,331,unknown,,,,,unknown,2026-05-05
Q8NH42,OR4KD_HUMAN,OR4K13,Olfactory receptor 4K13,,304,unknown,,,,,unknown,2026-05-05
Q8NH54,O56A3_HUMAN,OR56A3,Olfactory receptor 56A3,,315,unknown,,,,,unknown,2026-05-05
Q8NH60,O52J3_HUMAN,OR52J3,Olfactory receptor 52J3,,311,unknown,,,,,unknown,2026-05-05
Q8NH70,O4A16_HUMAN,OR4A16,Olfactory receptor 4A16,,328,unknown,,,,,unknown,2026-05-05
Q8NH72,OR4C6_HUMAN,OR4C6,Olfactory receptor 4C6,,309,unknown,,,,,unknown,2026-05-05
Q96P88,GNRR2_HUMAN,GNRHR2,Putative gonadotropin-releasing hormone II receptor,,292,unknown,,257,GnRH2 receptor,1,orphan,2026-05-05
Q96R27,OR2M4_HUMAN,OR2M4,Olfactory receptor 2M4,,311,unknown,,,,,unknown,2026-05-05
Q96R69,OR4F4_HUMAN,OR4F4,Olfactory receptor 4F4,,305,unknown,,,,,unknown,2026-05-05
Q96R84,OR1F2_HUMAN,OR1F2P,Putative olfactory receptor 1F2,,312,unknown,,,,,unknown,2026-05-05
Q96RD3,O52E6_HUMAN,OR52E6,Olfactory receptor 52E6,,313,unknown,,,,,unknown,2026-05-05
Q99463,NPY6R_HUMAN,NPY6R,Putative neuropeptide Y receptor type 6,,290,unknown,,683,y6 receptor,1,orphan,2026-05-05
Q9H344,O51I2_HUMAN,OR51I2,Olfactory receptor 51I2,,312,unknown,,,,,unknown,2026-05-05
Q9NS67,GPR27_HUMAN,GPR27,Probable G-protein coupled receptor 27,,375,orphan,,97,GPR27,1,orphan,2026-05-05
Q9NZP0,OR6C3_HUMAN,OR6C3,Olfactory receptor 6C3,,311,unknown,,,,,unknown,2026-05-05
Q9Y4A9,O10H1_HUMAN,OR10H1,Olfactory receptor 10H1,,318,unknown,,,,,unknown,2026-05-05
A0A2R8YED5,O5BS1_HUMAN,OR5BS1,Olfactory receptor 5BS1,,311,unknown,,,,,unknown,2026-05-05
A6NDL8,O6C68_HUMAN,OR6C68,Olfactory receptor 6C68,,312,unknown,,,,,unknown,2026-05-05
A6NFC9,OR2W5_HUMAN,OR2W5P,Putative olfactory receptor 2W5,,320,unknown,,,,,unknown,2026-05-05
A6NKK0,OR5H1_HUMAN,OR5H1,Olfactory receptor 5H1,,313,unknown,,,,,unknown,2026-05-05
A6NM03,O2AG2_HUMAN,OR2AG2,Olfactory receptor 2AG2,,316,unknown,,,,,unknown,2026-05-05
O76000,OR2B3_HUMAN,OR2B3,Putative olfactory receptor 2B3,,313,unknown,,,,,unknown,2026-05-05
O95013,O4F21_HUMAN,OR4F21,Olfactory receptor 4F21,,312,unknown,,,,,unknown,2026-05-05
O95221,OR5F1_HUMAN,OR5F1,Olfactory receptor 5F1,,314,unknown,,,,,unknown,2026-05-05
P0C7T2,OR2T7_HUMAN,OR2T7,Olfactory receptor 2T7,,308,unknown,,,,,unknown,2026-05-05
P0C7T3,O56A5_HUMAN,OR56A5,Olfactory receptor 56A5,,313,unknown,,,,,unknown,2026-05-05
P0DN82,O12D1_HUMAN,OR12D1,Olfactory receptor 12D1,,320,unknown,,,,,unknown,2026-05-05
P0DQD5,NPY42_HUMAN,NPY4R2,Neuropeptide Y receptor type 4-2,,375,unknown,,,,,unknown,2026-05-05
P59541,T2R30_HUMAN,TAS2R30,Taste receptor type 2 member 30,,319,unknown,,673,TAS2R30,1,orphan,2026-05-05
P59551,T2R60_HUMAN,TAS2R60,Taste receptor type 2 member 60,,318,unknown,,681,TAS2R60,1,orphan,2026-05-05
Q15615,OR4D1_HUMAN,OR4D1,Olfactory receptor 4D1,,310,unknown,,,,,unknown,2026-05-05
Q15619,OR1C1_HUMAN,OR1C1,Olfactory receptor 1C1,,314,unknown,,,,,unknown,2026-05-05
Q5JRS4,O10J3_HUMAN,OR10J3,Olfactory receptor 10J3,,329,unknown,,,,,unknown,2026-05-05
Q5UAW9,GP157_HUMAN,GPR157,G-protein coupled receptor 157,,335,orphan,,205,GPR157,1,orphan,2026-05-05
Q6IF00,OR2T2_HUMAN,OR2T2,Olfactory receptor 2T2,,324,unknown,,,,,unknown,2026-05-05
Q6NV75,GP153_HUMAN,GPR153,Probable G-protein coupled receptor 153,,609,orphan,,139,GPR153,1,orphan,2026-05-05
